86,"A Time to Kill","John Grisham"
87,"Night (The Night Trilogy nb.1)","Elie Wiesel, Marion Wiesel"
88,"Paper Towns","John Green"
89,"The Princess Bride ","William Goldman"
90,"The Outsiders","S.E. Hinton"
91,"The Maze Runner (Maze Runner, nb.1)","James Dashner"
92,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, nb.1)","Steven D. Levitt, Stephen J. Dubner"
93,"The Secret Garden","Frances Hodgson Burnett"
94,"One Hundred Years of Solitude","Gabriel García Márquez, Gregory Rabassa"
95,"The Picture of Dorian Gray","Oscar Wilde, Jeffrey Eugenides"
96,"Fifty Shades Freed (Fifty Shades, nb.3)","E.L. James"
97,"Dracula","Bram Stoker, Nina Auerbach, David J. Skal"
98,"The Girl Who Played with Fire (Millennium, nb.2)","Stieg Larsson, Reg Keeland"
99,"Fifty Shades Darker (Fifty Shades, nb.2)","E.L. James"
100,"The Poisonwood Bible","Barbara Kingsolver"
101,"Me Talk Pretty One Day","David Sedaris"
102,"Where the Wild Things Are","Maurice Sendak"
103,"The Count of Monte Cristo","Alexandre Dumas, Robin Buss"
104,"The Road","Cormac McCarthy"
105,"Allegiant (Divergent, nb.3)","Veronica Roth"
106,"Bossypants","Tina Fey"
107,"A Walk to Remember","Nicholas Sparks"
108,"Confessions of a Shopaholic (Shopaholic, nb.1)","Sophie Kinsella"
109,"Les Misérables","Victor Hugo, Lee Fahnestock, Norman MacAfee"
110,"A Clash of Kings  (A Song of Ice and Fire, nb.2)","George R.R. Martin"
111,"The Memory Keeper's Daughter","Kim Edwards"
112,"Me Before You (Me Before You, nb.1)","Jojo Moyes"
113,"Catch-22","Joseph Heller"
114,"Tuesdays with Morrie","Mitch Albom, Saulius Dagys"
115,"Middlesex","Jeffrey Eugenides"
116,"The Adventures of Tom Sawyer","Mark Twain, Guy Cardwell, John Seelye"
117,"A Wrinkle in Time (A Wrinkle in Time Quintet, nb.1)","Madeleine L'Engle"
118,"The Joy Luck Club","Amy Tan"
119,"The Handmaid's Tale","Margaret Atwood"
120,"The Sisterhood of the Traveling Pants (Sisterhood, nb.1)","Ann Brashares"
121,"Lolita","Vladimir Nabokov, Craig Raine"
122,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, nb.1)","Gregory Maguire, Douglas Smith"
123,"The Firm (Penguin Readers, Level 5)","John Grisham"
124,"Room","Emma Donoghue"
125,"Hamlet","William Shakespeare, Richard Andrews, Rex Gibson"
126,"Dune (Dune Chronicles nb.1)","Frank Herbert"
127,"The Tipping Point: How Little Things Can Make a Big Difference","Malcolm Gladwell"
128,"Steve Jobs","Walter Isaacson"
129,"One Flew Over the Cuckoo's Nest","Ken Kesey"
130,"The Old Man and the Sea","Ernest Hemingway"
131,"The Grapes of Wrath","John Steinbeck"
132,"The Five People You Meet in Heaven","Mitch Albom"
133,"Anne of Green Gables (Anne of Green Gables, nb.1)","L.M. Montgomery"
134,"City of Glass (The Mortal Instruments, nb.3)","Cassandra Clare"
135,"A Storm of Swords (A Song of Ice and Fire, nb.3)","George R.R. Martin"
136,"Divine Secrets of the Ya-Ya Sisterhood","Rebecca Wells"
137,"Outlander (Outlander, nb.1)","Diana Gabaldon"
138,"The Scarlet Letter","Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym"
139,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, nb.1)","Ransom Riggs"
140,"The Girl Who Kicked the Hornet's Nest (Millennium, nb.3)","Stieg Larsson, Reg Keeland"
141,"The Martian","Andy Weir"
142,"The Pillars of the Earth (The Kingsbridge Series, nb.1)","Ken Follett"
143,"All the Light We Cannot See","Anthony Doerr"
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Laura Hillenbrand"
145,"Deception Point","Dan Brown"
146,"The Goldfinch","Donna Tartt"
147,"Thirteen Reasons Why","Jay Asher"
148,"Girl with a Pearl Earring","Tracy Chevalier"
149,"If I Stay (If I Stay, nb.1)","Gayle Forman"
150,"The Red Tent","Anita Diamant"
151,"The Sea of Monsters (Percy Jackson and the Olympians, nb.2)","Rick Riordan"
152,"Dear John","Nicholas Sparks"
153,"City of Ashes (The Mortal Instruments, nb.2)","Cassandra Clare"
154,"Macbeth","William Shakespeare"
155,"The Two Towers (The Lord of the Rings, nb.2)","J.R.R. Tolkien"
156,"Something Borrowed (Darcy & Rachel, nb.1)","Emily Giffin"
157,"Green Eggs and Ham","Dr. Seuss, לאה נאור"
158,"Charlie and the Chocolate Factory (Charlie Bucket, nb.1)","Roald Dahl, Quentin Blake"
159,"The Battle of the Labyrinth (Percy Jackson and the Olympians, nb.4)","Rick Riordan"
160,"Great Expectations","Charles Dickens"
161,"The Return of the King (The Lord of the Rings, nb.3)","J.R.R. Tolkien"
162,"The Stranger","Albert Camus, Matthew    Ward"
163,"The Lost Hero (The Heroes of Olympus, nb.1)","Rick Riordan"
164,"Eleanor & Park","Rainbow Rowell"
165,"A Feast for Crows (A Song of Ice and Fire, nb.4)","George R.R. Martin"
166,"Matched (Matched, nb.1)","Ally Condie"
167,"American Gods (American Gods, nb.1)","Neil Gaiman"
168,"The Stand","Stephen King, Bernie Wrightson"
169,"The Last Song","Nicholas Sparks"
170,"Digital Fortress","Dan Brown"
171,"Emma","Jane Austen, Fiona Stafford"
172,"Anna Karenina","Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude"
173,"A Clockwork Orange","Anthony Burgess"
174,"The Shack","William Paul Young"
175,"The Last Olympian (Percy Jackson and the Olympians, nb.5)","Rick Riordan"
176,"It","Stephen King"
177,"Crime and Punishment","Fyodor Dostoyevsky, David McDuff"
178,"The Bell Jar","Sylvia Plath"
179,"Angela's Ashes (Frank McCourt, nb.1)","Frank McCourt"
180,"Siddhartha","Hermann Hesse, Hilda Rosner"
181,"In Cold Blood","Truman Capote"
182,"Beautiful Creatures (Caster Chronicles, nb.1)","Kami Garcia, Margaret Stohl"
183,"Clockwork Angel (The Infernal Devices, nb.1)","Cassandra Clare"
184,"Matilda","Roald Dahl, Quentin Blake"
185,"The Night Circus","Erin Morgenstern"
186,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, nb.9)","Philippa Gregory"
187,"Uglies (Uglies, nb.1)","Scott Westerfeld"
188,"A Dance with Dragons (A Song of Ice and Fire, nb.5)","George R.R. Martin"
189,"The Lord of the Rings (The Lord of the Rings, nb.1-3)","J.R.R. Tolkien"
190,"Wild: From Lost to Found on the Pacific Crest Trail","Cheryl Strayed"
191,"Watchmen","Alan Moore, Dave Gibbons, John Higgins"
192,"The Name of the Wind (The Kingkiller Chronicle, nb.1)","Patrick Rothfuss"
193,"Outliers: The Story of Success","Malcolm Gladwell"
194,"Moby-Dick or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk"
195,"The Guernsey Literary and Potato Peel Pie Society","Mary Ann Shaffer, Annie Barrows"
196,"Fight Club","Chuck Palahniuk"
197,"Dead Until Dark (Sookie Stackhouse, nb.1)","Charlaine Harris"
198,"The Color Purple","Alice Walker"
199,"Marley and Me: Life and Love With the World's Worst Dog","John Grogan"
200,"And Then There Were None","Agatha Christie"
201,"The Lost Symbol (Robert Langdon, nb.3)","Dan Brown"
202,"Hush, Hush (Hush, Hush, nb.1)","Becca Fitzpatrick"
203,"Beautiful Disaster (Beautiful, nb.1)","Jamie McGuire"
204,"A Christmas Carol","Charles Dickens"
205,"Interview with the Vampire (The Vampire Chronicles, nb.1)","Anne Rice"
206,"The Selection (The Selection, nb.1)","Kiera Cass"
207,"One for the Money (Stephanie Plum, nb.1)","Janet Evanovich"
208,"The Immortal Life of Henrietta Lacks","Rebecca Skloot"
209,"The Silence of the Lambs  (Hannibal Lecter, nb.2)","Thomas Harris"
210,"Vampire Academy (Vampire Academy, nb.1)","Richelle Mead"
211,"Blink: The Power of Thinking Without Thinking","Malcolm Gladwell"
212,"Atonement","Ian McEwan"
213,"The Metamorphosis","Franz Kafka, Stanley Corngold"
214,"The Titan's Curse (Percy Jackson and the Olympians, nb.3)","Rick Riordan"
215,"Ready Player One","Ernest Cline"
216,"The Art of Racing in the Rain","Garth Stein"
217,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America","Erik Larson, Tony Goldwyn"
218,"Bared to You (Crossfire, nb.1)","Sylvia Day"
219,"The Chronicles of Narnia (Chronicles of Narnia, nb.1-7)","C.S. Lewis, Pauline Baynes"
220,"Twilight: The Complete Illustrated Movie Companion","Mark Cotta Vaz"
221,"A Child Called "It" (Dave Pelzer nb.1)","Dave Pelzer"
222,"The Bourne Identity (Jason Bourne, nb.1)","Robert Ludlum"
223,"Artemis Fowl (Artemis Fowl, nb.1)","Eoin Colfer"
224,"Fallen (Fallen, nb.1)","Lauren Kate"
225,"East of Eden","John Steinbeck"
226,"Dark Places","Gillian Flynn"
227,"The Client","John Grisham"
228,"The Nanny Diaries (Nanny, nb.1)","Emma McLaughlin, Nicola Kraus"
229,"Alice's Adventures in Wonderland & Through the Looking-Glass","Lewis Carroll, John Tenniel, Martin Gardner"
230,"Persuasion","Jane Austen, James Kinsley, Deidre Shauna Lynch"
231,"Sarah's Key","Tatiana de Rosnay"
232,"The Gunslinger (The Dark Tower, nb.1)","Stephen King"
233,"Love in the Time of Cholera","Gabriel García Márquez, Edith Grossman"
234,"Speak","Laurie Halse Anderson"
235,"The Husband's Secret","Liane Moriarty"
236,"Into Thin Air: A Personal Account of the Mount Everest Disaster","Jon Krakauer"
237,"Carrie","Stephen King"
238,"Running with Scissors","Augusten Burroughs"
239,"World War Z: An Oral History of the Zombie War","Max Brooks"
240,"Inferno (Robert Langdon, nb.4)","Dan Brown"
241,"Number the Stars","Lois Lowry"
242,"Along Came a Spider (Alex Cross, nb.1)","James Patterson"
243,"Misery","Stephen King"
244,"Sharp Objects","Gillian Flynn"
245,"Bridge to Terabithia","Katherine Paterson"
246,"Marked (House of Night, nb.1)","P.C. Cast, Kristin Cast"
247,"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change","Stephen R. Covey"
248,"A Midsummer Night's Dream","William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey"
249,"Extremely Loud and Incredibly Close","Jonathan Safran Foer"
250,"Wonder","R.J. Palacio"
251,"The Cat in the Hat","Dr. Seuss"
252,"Cinder (The Lunar Chronicles, nb.1)","Marissa Meyer"
253,"The Cuckoo's Calling (Cormoran Strike, nb.1)","Robert Galbraith, J.K. Rowling"
254,"Shiver (The Wolves of Mercy Falls, nb.1)","Maggie Stiefvater"
255,"Atlas Shrugged","Ayn Rand, Leonard Peikoff"
256,"Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time","Greg Mortenson, David Oliver Relin"
257,"Alice in Wonderland","Jane Carruth, Lewis Carroll, Rene Cloke"
258,"The Shadow of the Wind (The Cemetery of Forgotten Books,  nb.1)","Carlos Ruiz Zafón, Lucia Graves"
259,"The Scorch Trials (Maze Runner, nb.2)","James Dashner"
260,"How to Win Friends and Influence People","Dale Carnegie"
261,"Under the Tuscan Sun","Frances Mayes"
262,"Big Little Lies","Liane Moriarty"
263,"Ella Enchanted","Gail Carson Levine"
264,"The Sun Also Rises","Ernest Hemingway"
265,"A Tree Grows in Brooklyn","Betty  Smith"
266,"Kiss the Girls (Alex Cross, nb.2)","James Patterson"
267,"The Nightingale","Kristin Hannah"
268,"Never Let Me Go","Kazuo Ishiguro"
269,"P.S. I Love You","Cecelia Ahern"
270,"Rebecca","Daphne du Maurier, Sally Beauman"
271,"Flowers for Algernon","Daniel Keyes"
272,"Like Water for Chocolate","Laura Esquivel, Thomas  Christensen, Carol Christensen"
273,"Snow Flower and the Secret Fan","Lisa See"
274,"The Godfather","Mario Puzo, Robert Thompson, Peter Bart"
275,"An Abundance of Katherines","John Green"
276,"Foundation (Foundation nb.1)","Isaac Asimov"
277,"The Ocean at the End of the Lane","Neil Gaiman"
278,"A Light in the Attic","Shel Silverstein"
279,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, nb.8)","John Tiffany, Jack Thorne, J.K. Rowling"
280,"Delirium (Delirium, nb.1)","Lauren Oliver"
281,"The Pelican Brief","John Grisham"
282,"Coraline","Neil Gaiman"
283,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman"
284,"On the Road","Jack Kerouac"
285,"The Rosie Project (Don Tillman, nb.1)","Graeme Simsion"
286,"The Lucky One","Nicholas Sparks"
287,"The Fountainhead","Ayn Rand, Leonard Peikoff"
288,"The Hunt for Red October (Jack Ryan Universe, nb.4)","Tom Clancy"
289,"Watership Down (Watership Down, nb.1)","Richard Adams"
290,"Is Everyone Hanging Out Without Me? (And Other Concerns)","Mindy Kaling"
291,"Cutting for Stone","Abraham Verghese"
292,"The Voyage of the Dawn Treader (Chronicles of Narnia, nb.3)","C.S. Lewis, Pauline Baynes"
293,"Treasure Island","Robert Louis Stevenson"
294,"The Son of Neptune (The Heroes of Olympus, nb.2)","Rick Riordan"
295,"11/22/63","Stephen King"
296,"The Very Hungry Caterpillar Board Book","Eric Carle"
297,"Cat's Cradle","Kurt Vonnegut Jr."
298,"The Time Machine","H.G. Wells, Greg Bear, Carlo Pagetti"
299,"Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back","Todd Burpo, Lynn Vincent"
300,"The Boy in the Striped Pajamas","John Boyne"
301,"Heart of Darkness","Joseph Conrad"
302,"Safe Haven","Nicholas Sparks"
303,"The Secret (The Secret, nb.1)","Rhonda Byrne"
304,"I Know This Much Is True","Wally Lamb"
305,"Pet Sematary","Stephen King"
306,"She's Come Undone","Wally Lamb"
307,"The Wise Man's Fear (The Kingkiller Chronicle, nb.2)","Patrick Rothfuss"
308,"Can You Keep a Secret?","Sophie Kinsella"
309,"City of Fallen Angels (The Mortal Instruments, nb.4)","Cassandra Clare"
310,"Good in Bed (Cannie Shapiro, nb.1)","Jennifer Weiner"
311,"The Thorn Birds","Colleen McCullough"
312,"The Graveyard Book","Neil Gaiman, Dave McKean"
313,"The Light Between Oceans","M.L. Stedman"
314,"Inkheart (Inkworld, nb.1)","Cornelia Funke, Anthea Bell"
315,"Who Moved My Cheese?","Spencer Johnson, Kenneth H. Blanchard"
316,"A Walk in the Woods","Bill Bryson"
317,"I Know Why the Caged Bird Sings","Maya Angelou"
318,"Orphan Train","Christina Baker Kline"
319,"City of Lost Souls (The Mortal Instruments, nb.5)","Cassandra Clare"
320,"Where'd You Go, Bernadette","Maria Semple"
321,"Where the Red Fern Grows","Wilson Rawls"
322,"Neverwhere","Neil Gaiman"
323,"The Unbearable Lightness of Being","Milan Kundera, Michael Henry Heim"
324,"Fangirl","Rainbow Rowell"
325,"A Prayer for Owen Meany","John Irving"
326,"White Oleander","Janet Fitch"
327,"Legend (Legend, nb.1)","Marie Lu"
328,"Nineteen Minutes","Jodi Picoult"
329,"The Last Lecture","Randy Pausch, Jeffrey Zaslow"
330,"The Eye of the World (Wheel of Time, nb.1)","Robert Jordan"
331,"The Pact","Jodi Picoult"
332,"The Magician's Nephew (Chronicles of Narnia, nb.6)","C.S. Lewis"
333,"Still Alice","Lisa Genova"
334,"Reflected in You (Crossfire, nb.2)","Sylvia Day"
335,"James and the Giant Peach","Roald Dahl, Quentin Blake"
336,"1st to Die (Women's Murder Club, nb.1)","James Patterson"
337,"The Ultimate Hitchhiker's Guide to the Galaxy","Douglas Adams"
338,"One Day","David Nicholls"
339,"Goodnight Moon","Margaret Wise Brown, Clement Hurd"
340,"I Am Number Four (Lorien Legacies, nb.1)","Pittacus Lore"
341,"The Iliad","Homer, Robert Fagles, Frédéric Mugler, Bernard Knox"
342,"The Casual Vacancy","J.K. Rowling"
343,"The Runaway Jury","John Grisham"
344,"Naked","David Sedaris"
345,"Eldest (The Inheritance Cycle, nb.2)","Christopher Paolini"
346,"The Wonderful Wizard of Oz (Oz, nb.1)","L. Frank Baum, W.W. Denslow"
347,"Prince Caspian (Chronicles of Narnia, nb.2)","C.S. Lewis"
348,"We Were Liars","E. Lockhart"
349,"'Salem's Lot","Stephen King"
350,"Fear and Loathing in Las Vegas","Hunter S. Thompson, Ralph Steadman"
351,"Clockwork Prince (The Infernal Devices, nb.2)","Cassandra Clare"
352,"Yes Please","Amy Poehler"
353,"Othello","William Shakespeare"
354,"Beloved","Toni Morrison"
355,"Graceling (Graceling Realm, nb.1)","Kristin Cashore"
356,"The Bad Beginning (A Series of Unfortunate Events, nb.1)","Lemony Snicket, Brett Helquist"
357,"All Quiet on the Western Front","Erich Maria Remarque, A.W. Wheen"
358,"Oh, The Places You'll Go!","Dr. Seuss"
359,"And the Mountains Echoed","Khaled Hosseini"
360,"Do Androids Dream of Electric Sheep?","Philip K. Dick, Roger Zelazny"
361,"Oliver Twist","Charles Dickens, George Cruikshank, Philip Horne"
362,"The Screwtape Letters","C.S. Lewis"
363,"Anna and the French Kiss (Anna and the French Kiss, nb.1)","Stephanie Perkins"
364,"How the Grinch Stole Christmas!","Dr. Seuss"
365,"V for Vendetta","Alan Moore, David   Lloyd"
366,"John Adams","David McCullough"
367,"Odd Thomas (Odd Thomas, nb.1)","Dean Koontz"
368,"The Subtle Knife (His Dark Materials, nb.2)","Philip Pullman"
369,"Stargirl (Stargirl, nb.1)","Jerry Spinelli"
370,"The Red Pyramid (Kane Chronicles, nb.1)","Rick Riordan"
371,"Stranger in a Strange Land","Robert A. Heinlein"
372,"Dress Your Family in Corduroy and Denim","David Sedaris"
373,"The BFG","Roald Dahl, Quentin Blake"
374,"A Short History of Nearly Everything","Bill Bryson"
375,"The Call of the Wild","Jack London"
376,"The Death Cure (Maze Runner, nb.3)","James Dashner"
377,"Stardust","Neil Gaiman"
378,"The Namesake","Jhumpa Lahiri"
379,"A Discovery of Witches (All Souls Trilogy, nb.1)","Deborah Harkness"
380,"Norwegian Wood","Haruki Murakami, Jay Rubin"
381,"Where the Heart Is","Billie Letts"
382,"Will Grayson, Will Grayson","John Green, David Levithan"
383,"A Million Little Pieces","James Frey"
384,"Frostbite (Vampire Academy, nb.2)","Richelle Mead"
385,"Quiet: The Power of Introverts in a World That Can't Stop Talking","Susan Cain"
386,"Island of the Blue Dolphins (Island of the Blue Dolphins, nb.1)","Scott O'Dell"
387,"The Crucible","Arthur Miller, Christopher Bigsby"
388,"Hatchet (Brian's Saga, nb.1)","Gary Paulsen"
389,"The Final Empire (Mistborn, nb.1)","Brandon Sanderson"
390,"The Strange Case of Dr. Jekyll and Mr. Hyde","Robert Louis Stevenson, Vladimir Nabokov, Mervyn Peake, Dan Chaon"
391,"The Lorax","Dr. Seuss"
392,"Diary of a Wimpy Kid (Diary of a Wimpy Kid, nb.1)","Jeff Kinney"
393,"Throne of Glass (Throne of Glass, nb.1)","Sarah J. Maas"
394,"Shadow Kiss (Vampire Academy, nb.3)","Richelle Mead"
395,"For Whom the Bell Tolls","Ernest Hemingway"
396,"Hotel on the Corner of Bitter and Sweet","Jamie Ford"
397,"Perfume: The Story of a Murderer","Patrick Süskind, John E. Woods"
398,"Fast Food Nation: The Dark Side of the All-American Meal","Eric Schlosser"
399,"The Tales of Beedle the Bard","J.K. Rowling"
400,"Neuromancer","William Gibson"
401,"A Farewell to Arms","Ernest Hemingway"
402,"The Tell-Tale Heart and Other Writings","Edgar Allan Poe"
403,"The Art of War","Sun Tzu, Thomas Cleary"
404,"Defending Jacob","William Landay"
405,"Breakfast of Champions","Kurt Vonnegut Jr."
406,"The New Drawing on the Right Side of the Brain","Betty Edwards"
407,"Bel Canto","Ann Patchett"
408,"Guns, Germs, and Steel: The Fates of Human Societies","Jared Diamond"
409,"Fried Green Tomatoes at the Whistle Stop Cafe","Fannie Flagg"
410,"Things Fall Apart (The African Trilogy, nb.1)","Chinua Achebe"
411,"The Undomestic Goddess","Sophie Kinsella"
412,"The Five Love Languages: How to Express Heartfelt Commitment to Your Mate","Gary Chapman"
413,"The Three Musketeers","Alexandre Dumas"
414,"Little Bee","Chris Cleave"
415,"Evermore (The Immortals, nb.1)","Alyson Noel"
416,"The Witches","Roald Dahl, Quentin Blake"
417,"The Thirteenth Tale","Diane Setterfield"
418,"Spirit Bound (Vampire Academy, nb.5)","Richelle Mead"
419,"Blood Promise (Vampire Academy, nb.4)","Richelle Mead"
420,"Message in a Bottle","Nicholas Sparks"
421,"The Paris Wife","Paula McLain"
422,"Harry Potter Boxset (Harry Potter, nb.1-7)","J.K. Rowling"
423,"The Elite (The Selection, nb.2)","Kiera Cass"
424,"The Name of the Rose","Umberto Eco, William Weaver, Seán Barrett"
425,"Go Ask Alice","Beatrice Sparks, Anonymous"
426,"A Confederacy of Dunces","John Kennedy Toole, Walker Percy"
427,"The Importance of Being Earnest","Oscar Wilde"
428,"The Mark of Athena (The Heroes of Olympus, nb.3)","Rick Riordan"
429,"The Color of Magic (Discworld, nb.1; Rincewind nb.1)","Terry Pratchett"
430,"Kafka on the Shore","Haruki Murakami, Philip Gabriel"
431,"Red Dragon (Hannibal Lecter, nb.1)","Thomas Harris"
432,"I, Robot (Robot nb.0.1)","Isaac Asimov"
433,"Dark Lover (Black Dagger Brotherhood, nb.1)","J.R. Ward"
434,"Crescendo (Hush, Hush, nb.2)","Becca Fitzpatrick"
435,"Before I Fall","Lauren Oliver"
436,"The God of Small Things","Arundhati Roy"
437,"The Invention of Wings","Sue Monk Kidd"
438,"What Alice Forgot","Liane Moriarty"
439,"A Brief History of Time","Stephen Hawking, Cao Chi, Phạm Văn Thiều"
440,"Fall of Giants (The Century Trilogy, nb.1)","Ken Follett"
441,"Under the Dome","Stephen King"
442,"Snow Crash","Neal Stephenson"
443,"Just Listen","Sarah Dessen"
444,"Winnie-the-Pooh (Winnie-the-Pooh, nb.1)","A.A. Milne, Ernest H. Shepard"
445,"Before I Go to Sleep","S.J. Watson"
446,"A Study in Scarlet","Arthur Conan Doyle"
447,"Brisingr (The Inheritance Cycle, nb.3)","Christopher Paolini"
448,"The Purpose Driven Life: What on Earth Am I Here for?","Rick Warren"
449,"Betrayed (House of Night, nb.2)","P.C. Cast, Kristin Cast"
450,"Storm Front (The Dresden Files, nb.1)","Jim Butcher"
451,"Northanger Abbey","Jane Austen, Alfred MacAdam"
452,"The 5th Wave (The 5th Wave, nb.1)","Rick Yancey"
453,"Cold Mountain","Charles Frazier"
